claim_id,incident_id,claim_type,claim_value,support_status,supporting_source_count,independent_supporting_count,contradicting_source_count,confidence_category
CLM-00001,AHID-CN-2026-0001,event_occurred,四名未满14岁男童虐杀流浪母狗及其三只幼犬,supported,2,2,0,high
CLM-00002,AHID-CN-2026-0001,event_date,2026-06-28,supported,2,2,0,high
CLM-00003,AHID-CN-2026-0001,event_location,广东省揭阳市揭东区新亨镇坪埔村,supported,2,2,0,high
CLM-00004,AHID-CN-2026-0001,animal_count,4（1只母犬+3只幼犬）,supported,2,2,0,high
CLM-00005,AHID-CN-2026-0001,harm_method,铁丝勒颈拖行、木棍殴打、泼易燃液体纵火,supported,2,2,0,high
CLM-00006,AHID-CN-2026-0001,animal_death,母犬及三只幼犬全部死亡,supported,2,2,0,high
CLM-00007,AHID-CN-2026-0001,minor_involvement,4名涉案者均未满14周岁,supported,2,2,0,high
CLM-00008,AHID-CN-2026-0001,official_response,揭阳市公安局揭东分局立案调查；新亨镇人民政府成立专项工作组，将4人送专门学校矫治教育,supported,2,2,0,high
CLM-00009,AHID-CN-2026-0001,policy_response,事件引发关于制定全国性动物保护法的公众讨论，多名人大代表此前已连续提出相关建议,partially_supported,1,1,0,medium
CLM-00010,AHID-CN-2026-0002,event_occurred,赣南师范大学科技学院学生邱某某发布虐猫影像，校方通报违法行为属实,supported,2,2,0,high
CLM-00011,AHID-CN-2026-0002,event_date,2026-05-14（校方通报日期）,supported,2,2,0,high
CLM-00012,AHID-CN-2026-0002,animal_species,猫,supported,2,2,0,high
CLM-00013,AHID-CN-2026-0002,official_response,赣南师范大学科技学院给予开除学籍处分,supported,2,2,0,high
CLM-00014,AHID-CN-2026-0002,legal_outcome,警方行政拘留10日,claimed_only,0,0,0,low
CLM-00015,AHID-CN-2026-0003,event_occurred,武汉理工大学土木工程与建筑学院学生付某某多次伤害校内一只猫,supported,1,1,0,high
CLM-00016,AHID-CN-2026-0003,event_date,2024-07-18（校方接到举报日期）,supported,1,1,0,high
CLM-00017,AHID-CN-2026-0003,harm_method,多次殴打、装入盛水袋中封闭、喷花露水、双脚捆绑悬挂晾衣架,supported,1,1,0,high
CLM-00018,AHID-CN-2026-0003,official_response,学院成立工作组调查，对该生严肃批评教育；截至报道时尚未公布最终处分结果,partially_supported,1,1,0,medium
CLM-00019,AHID-CN-2026-0004,event_occurred,广东海洋大学食品科技学院学生崔某某将猫杀死,supported,2,1,0,high
CLM-00020,AHID-CN-2026-0004,event_date,2025-06-20（据校方处分决定）,supported,2,1,0,high
